path,lines,compiles(Y/N),imports_clean(Y/N),real_libs_or_stub,has_stub_markers,verdict,evidence
backend/__init__.py,0,Y,Y,clean,NO,,
backend/app/config.py,155,Y,Y,clean,NO,,
backend/app/db_config.py,26,Y,Y,clean,NO,,
backend/app/main.py,512,Y,N,stubbed_on_ImportError,NO,SUSPECT,Flagged by Master Prompt
backend/app/__init__.py,0,Y,Y,clean,NO,,
backend/app/api/content.py,291,Y,Y,clean,NO,,
backend/app/api/health.py,255,Y,Y,clean,NO,,
backend/app/api/health_routes.py,43,Y,Y,clean,NO,,
backend/app/api/metrics_routes.py,78,Y,Y,clean,NO,,
backend/app/api/preferences.py,139,Y,Y,clean,NO,,
backend/app/api/process_turn_temp.py,745,N,Y,clean,NO,BROKEN,Fails to compile
backend/app/api/routes.py,363,Y,Y,clean,NO,,
backend/app/api/settings_routes.py,78,Y,Y,clean,NO,,
backend/app/api/sync_routes.py,72,Y,Y,clean,NO,,
backend/app/api/tool_forcing.py,86,Y,Y,clean,NO,,
backend/app/api/turn_processor.py,847,Y,Y,clean,NO,,
backend/app/api/ws_transport.py,75,Y,Y,clean,NO,,
backend/app/api/__init__.py,0,Y,Y,clean,NO,,
backend/app/auth/token_auth.py,94,Y,Y,clean,NO,,
backend/app/auth/__init__.py,1,Y,Y,clean,NO,,
backend/app/core/base_tool.py,38,Y,Y,clean,NO,,
backend/app/core/checkpointer.py,100,Y,Y,clean,YES (1): L55,STUB,Found 1 stub markers
backend/app/core/circuit_breaker.py,423,Y,Y,clean,NO,,
backend/app/core/env_validation.py,73,Y,Y,clean,NO,,
backend/app/core/errors.py,26,Y,Y,clean,NO,,
backend/app/core/graph_state.py,14,Y,Y,clean,NO,,
backend/app/core/interfaces.py,59,Y,Y,clean,NO,,
backend/app/core/llm_factory.py,224,Y,Y,clean,"YES (3): L68, L71, L188",SUSPECT,Flagged by Master Prompt
backend/app/core/outbox_worker.py,53,Y,Y,clean,NO,,
backend/app/core/rate_limiter.py,89,Y,Y,clean,NO,,
backend/app/core/registry.py,38,Y,Y,clean,NO,,
backend/app/core/supervisor_graph.py,527,Y,Y,clean,YES (1): L35,STUB,Found 1 stub markers
backend/app/core/task_registry.py,232,Y,Y,clean,NO,,
backend/app/core/tool_registry.py,74,Y,Y,clean,NO,,
backend/app/core/turn_state.py,211,Y,Y,clean,NO,,
backend/app/core/__init__.py,1,Y,Y,clean,NO,,
backend/app/db/database.py,250,Y,Y,clean,NO,,
backend/app/db/memory_handler.py,116,Y,N,stubbed_on_ImportError,NO,,
backend/app/db/session.py,56,Y,Y,clean,NO,,
backend/app/db/__init__.py,0,Y,Y,clean,NO,,
backend/app/models/action_model.py,71,Y,Y,clean,NO,,
backend/app/models/session_model.py,43,Y,Y,clean,NO,,
backend/app/services/action_dispatcher.py,63,Y,Y,clean,NO,,
backend/app/services/action_executor.py,535,Y,Y,clean,"YES (2): L19, L179",STUB,Found 2 stub markers
backend/app/services/cache_service.py,205,Y,Y,clean,NO,,
backend/app/services/dev_agent_service.py,96,Y,Y,clean,NO,,
backend/app/services/embedding.py,46,Y,Y,clean,YES (1): L43,STUB,Found 1 stub markers
backend/app/services/habit_service.py,97,Y,Y,clean,NO,,
backend/app/services/image_service.py,86,Y,N,stubbed_on_ImportError,NO,,
backend/app/services/intent_detector.py,191,Y,Y,clean,YES (1): L64,STUB,Found 1 stub markers
